iters f1 f2 f3 f4 f5 f6 
1 1.000000000000000 1.000000000000000 1.000000000000000 1.000000000000000 1.000000000000000 1.000000000000000 
2 0.104441339530178 0.094380335243567 0.087467029675096 0.084659480504542 0.086517221364580 0.092886825897526 
3 0.057202698804491 0.051613203076976 0.049103227817920 0.050767563429357 0.057660372861963 0.070136099964987 
4 0.039478794367114 0.036720749684751 0.037558246701752 0.043267553978286 0.053214874217613 0.063097090764222 
5 0.030361642621837 0.029578032199087 0.033078924409091 0.040761495294395 0.046766547459342 0.052403620261424 
6 0.024825168482010 0.025627278393769 0.031261640009687 0.037174885778677 0.040474687937086 0.048941883678777 
7 0.021088396857511 0.023316316935022 0.029950665387147 0.032727520701583 0.038061631205490 0.044755489054854 
8 0.018406589881233 0.021922571248242 0.027808355139119 0.029705999056284 0.035407516428485 0.040599850355086 
9 0.016433800988918 0.021039852793833 0.025040706820492 0.027849246205903 0.031744439356664 0.038568022652101 
10 0.014833440011374 0.020295734527684 0.022375192888297 0.025918119482423 0.029216891413915 0.035314627872907 
11 0.013427189278399 0.019211464131918 0.019935850470722 0.022819534424031 0.026914570108669 0.032046177234009 
12 0.012181552049686 0.017462549738575 0.017541043304239 0.018875741521243 0.022756390760865 0.029199025805433 
13 0.010992943053312 0.015053593967064 0.014828735750877 0.014679753297507 0.017778161371421 0.025118798441526 
14 0.009853506645325 0.012256047027636 0.011542891135458 0.010804715159373 0.013468396234947 0.020346929387779 
15 0.008661819332084 0.009329241491440 0.007875982661024 0.007121201657105 0.009268913358798 0.015834387445940 
16 0.007525193680166 0.006796711503091 0.004984468887506 0.004359280326968 0.005831472486986 0.011208024466993 
17 0.006552998601239 0.005098899753840 0.003360411339559 0.002833490797229 0.003849998758937 0.007872379076003 
18 0.005648726809916 0.003962916428675 0.002536629152874 0.002107618569480 0.002855622865596 0.005962919989504 
19 0.004629466177159 0.002991810455234 0.001998462144141 0.001728028001988 0.002216416874214 0.004418023973362 
20 0.003698013837284 0.002277305066743 0.001621492658592 0.001498927758694 0.001776740495090 0.003371653904143 
21 0.002978503099419 0.001835339884863 0.001398552738452 0.001304984866811 0.001530917327702 0.002775183093227 
22 0.002430069897087 0.001527303611708 0.001217329319421 0.001098472637541 0.001357982641921 0.002238942482679 
23 0.002072828148240 0.001351702605308 0.001055264646463 0.000965590319939 0.001226940288073 0.001922250782080 
24 0.001772756032396 0.001236249684764 0.000900192559357 0.000861798815043 0.001091585707259 0.001635702171499 
25 0.001490970915941 0.001151017468616 0.000760696062225 0.000739905707472 0.000984876221757 0.001445062013926 
26 0.001191150609410 0.001028729014407 0.000617355633834 0.000609515425861 0.000861098825303 0.001295624280904 
27 0.001003523167888 0.000874038179502 0.000512649075396 0.000518562610520 0.000750544385887 0.001174044022813 
28 0.000845151191082 0.000711977655963 0.000427329555587 0.000436175387871 0.000646311040575 0.001042930356707 
29 0.000711707959882 0.000587152868279 0.000362869233619 0.000371928059696 0.000569749589201 0.000966168664217 
30 0.000596950276801 0.000495447970184 0.000310369026628 0.000330484085518 0.000509457486733 0.000858632066092 
31 0.000515407385844 0.000436693258152 0.000269936536307 0.000296681518358 0.000448373869921 0.000775862497431 
32 0.000436169609327 0.000391066989751 0.000234927706454 0.000259149546480 0.000392017728889 0.000685972919153 
33 0.000372355959986 0.000347158755906 0.000203315445348 0.000222972604203 0.000334904796535 0.000595175524508 
34 0.000330916870898 0.000304055745607 0.000176749063702 0.000188912745789 0.000285100411794 0.000525445405254 
35 0.000289998930024 0.000253992028789 0.000150982967949 0.000150954812644 0.000236201548992 0.000464314702395 
36 0.000250612682146 0.000198637052872 0.000122736621095 0.000115788558778 0.000188335186995 0.000409743265629 
37 0.000212167649979 0.000154925234361 0.000096964348661 0.000090029638806 0.000151478793224 0.000355098898599 
38 0.000184704897734 0.000129489528434 0.000079355658977 0.000072017798932 0.000122680649214 0.000298562765842 
39 0.000158779429673 0.000109258864003 0.000065488798640 0.000057648855959 0.000097896179317 0.000252997005620 
40 0.000132382935506 0.000089823822469 0.000052719242478 0.000046317990701 0.000080187119083 0.000220368907711 
41 0.000105996061254 0.000072374588518 0.000043498736792 0.000038986097549 0.000066633100669 0.000190105981568 
42 0.000083092758749 0.000057392042374 0.000036540468365 0.000032685294415 0.000052181984959 0.000158493715156 
43 0.000066496584946 0.000046446414012 0.000030685498914 0.000027224485945 0.000041685083720 0.000135591971245 
44 0.000056484937955 0.000039395679881 0.000026255323840 0.000023517878547 0.000035214335908 0.000114637846740 
45 0.000048377277243 0.000033539448383 0.000022639611084 0.000019885244711 0.000029484199761 0.000093182825626 
46 0.000040483500694 0.000028493301798 0.000019508761418 0.000016223663795 0.000024642952653 0.000076018746010 
47 0.000033626813040 0.000024254853401 0.000016635239926 0.000013257760945 0.000020739012641 0.000063790654238 
48 0.000028989821112 0.000021170122406 0.000014263504169 0.000010867163784 0.000017638859002 0.000054296639049 
49 0.000025521065250 0.000018928208435 0.000012195906784 0.000008722613730 0.000014887885284 0.000045926680651 
50 0.000022137415157 0.000016547966575 0.000010197941034 0.000007055984403 0.000012487367582 0.000038082862643 
51 0.000018838098679 0.000013762594075 0.000008058623824 0.000005713921382 0.000010181408236 0.000031030763775 
52 0.000015127045775 0.000010964490603 0.000006352275574 0.000004717147851 0.000008470294502 0.000025910258715 
53 0.000012089104289 0.000008869026282 0.000005276436236 0.000004110949808 0.000007236817521 0.000021696555484 
54 0.000009775371436 0.000007325834453 0.000004504336999 0.000003630987923 0.000006163743913 0.000018544040695 
55 0.000007952854402 0.000006069735751 0.000003831487589 0.000003142685444 0.000005303921947 0.000016381236287 
56 0.000006340680412 0.000004920812267 0.000003231886956 0.000002673044511 0.000004574644385 0.000014324695047 
57 0.000005005143796 0.000003913634320 0.000002656899273 0.000002197695584 0.000003897145168 0.000012313243300 
58 0.000004057032725 0.000003204270631 0.000002150286465 0.000001747164310 0.000003294492862 0.000010561724038 
59 0.000003373767517 0.000002642150351 0.000001705106996 0.000001363251082 0.000002740425331 0.000008910774181 
60 0.000002914388082 0.000002189147090 0.000001374777583 0.000001103582908 0.000002330140597 0.000007569194809 
61 0.000002486402624 0.000001747005253 0.000001106949439 0.000000907856722 0.000001957689268 0.000006241792527 
62 0.000002023675155 0.000001344369868 0.000000899158420 0.000000769191602 0.000001658459028 0.000005406564533 
63 0.000001729203933 0.000001132245050 0.000000787282225 0.000000681637218 0.000001422996793 0.000004703793462 
64 0.000001583007981 0.000001013443599 0.000000688167096 0.000000591621314 0.000001201518168 0.000004150919216 
65 0.000001491702909 0.000000882434715 0.000000560862207 0.000000514102653 0.000001019291072 0.000003653651267 
66 0.000001408686308 0.000000722459764 0.000000454150624 0.000000441456238 0.000000826951552 0.000003168902030 
67 0.000001314277171 0.000000601464308 0.000000388009708 0.000000359822312 0.000000675599174 0.000002720891771 
68 0.000001187787596 0.000000508720759 0.000000322841013 0.000000288231872 0.000000538503648 0.000002282671546 
69 0.000001059622618 0.000000442558542 0.000000256715479 0.000000237977964 0.000000445651136 0.000001990180287 
70 0.000000933822831 0.000000390455211 0.000000207383372 0.000000192484078 0.000000372915984 0.000001693309836 
71 0.000000824387813 0.000000338840241 0.000000172290720 0.000000153691451 0.000000313147548 0.000001477746500 
72 0.000000715218446 0.000000274870135 0.000000140939856 0.000000124100157 0.000000262275825 0.000001223270876 
73 0.000000604175265 0.000000212571791 0.000000113056338 0.000000100978276 0.000000219200655 0.000001045831500 
74 0.000000501069477 0.000000164791279 0.000000093200625 0.000000083362044 0.000000182536791 0.000000872059726 
75 0.000000416172009 0.000000132452474 0.000000077705778 0.000000069059775 0.000000152240810 0.000000752601146 
76 0.000000362685294 0.000000112704661 0.000000064933224 0.000000059396537 0.000000131333494 0.000000645001802 
77 0.000000325574989 0.000000096800590 0.000000052849742 0.000000050191970 0.000000110506642 0.000000552737233 
78 0.000000290159244 0.000000080377330 0.000000042609343 0.000000041411937 0.000000096565398 0.000000475756519 
79 0.000000255810332 0.000000066718504 0.000000036410159 0.000000035667950 0.000000083351730 0.000000411391826 
80 0.000000222478699 0.000000055703077 0.000000030995984 0.000000029487159 0.000000069529726 0.000000352257595 
81 0.000000192375542 0.000000048106632 0.000000025425379 0.000000024014102 0.000000058792874 0.000000294308633 
82 0.000000166601783 0.000000041959435 0.000000020364774 0.000000019473361 0.000000047747780 0.000000244247712 
83 0.000000146053139 0.000000036581480 0.000000016725601 0.000000015730634 0.000000040424023 0.000000203067163 
84 0.000000127477456 0.000000031269678 0.000000014180472 0.000000013185181 0.000000034342121 0.000000173272629 
85 0.000000112225389 0.000000026520281 0.000000012124770 0.000000011226021 0.000000029531694 0.000000148918245 
86 0.000000098250838 0.000000022265706 0.000000010199903 0.000000009435617 0.000000025355543 0.000000130182778 
87 0.000000088064643 0.000000018945809 0.000000008562106 0.000000000000000 0.000000021280040 0.000000112940957 
